workbook_id,category,defined_name_id,scope_sheet_index,hidden,metadata_status,reference_kind,external_reference,functions,calculation_topics,detected_units
48e84a7374ffc7ba,torque-drag-drillstring,n000001,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000002,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000003,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000004,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000005,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000006,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000007,,,scope-and-visibility-unsupported-by-calamine,formula,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000008,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000009,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000010,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000011,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000012,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000013,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000014,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000015,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000016,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000017,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000018,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000019,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000020,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000021,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000022,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000023,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000024,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000025,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000026,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000027,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000028,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000029,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000030,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000031,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000032,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000033,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000034,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000035,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000036,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000037,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000038,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000039,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000040,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
