id,classification,score,category,archive_relative_path,original_name,extension,bytes,sha256,source_occurrences,sheet_count,sheet_names,formula_count,has_macros,inspection_status,signals
5adf5f7d44a22ab7,drilling_calculation,7,bha-tools,files/bha-tools/bha-rss-results--5adf5f7d44a2.xlsx,BHA RSS-Results.xlsx,.xlsx,16488,5adf5f7d44a22ab7a602f95c1509da0e8145293aa14315fcea778f8864ee7e5e,1,1,BHA RSS,0,False,openxml-inspected,filename-domain:BHA;path-domain:bha-tools;sheet-domain:bha-tools
d3f73f2583b83fa0,drilling_calculation,9,bha-tools,files/bha-tools/bha-spreadsheet-1--d3f73f2583b8.xls,BHA Spreadsheet 1.xls,.xls,648704,d3f73f2583b83fa0842c4b3736a146faf6187cdaef553ffc64bb582565844986,1,0,,,False,binary-format-metadata-only,filename-domain:BHA;filename-calculation-term;path-domain:bha-tools;binary-format-name-evidence
1e714a35863a0d7e,drilling_calculation,9,bha-tools,files/bha-tools/bha-spreadsheet-2--1e714a35863a.xls,BHA Spreadsheet 2.xls,.xls,416768,1e714a35863a0d7e9ccdfdc59debea4ed8e0d82762bab27d8e4389f1efdb0a7c,1,0,,,False,binary-format-metadata-only,filename-domain:BHA;filename-calculation-term;path-domain:bha-tools;binary-format-name-evidence
8b22cd9c8f783873,drilling_calculation,9,bha-tools,files/bha-tools/bha-spreadsheet-3--8b22cd9c8f78.xls,BHA Spreadsheet 3.xls,.xls,860160,8b22cd9c8f7838734ec454d40fd0f3d89df46346f96221d2812818c2eb619ab2,1,0,,,False,binary-format-metadata-only,filename-domain:BHA;filename-calculation-term;path-domain:bha-tools;binary-format-name-evidence
cedfdf758e91c9a6,drilling_calculation,9,bha-tools,files/bha-tools/flexishaft-calculator-form--cedfdf758e91.xls,FlexiShaft Calculator Form.xls,.xls,20992,cedfdf758e91c9a6e35dd1542347cb721213102a1a8f137e085a1425abfba180,1,0,,,False,binary-format-metadata-only,filename-domain:FlexiShaft;filename-calculation-term;path-calculation-term;binary-format-name-evidence
5692bbb13d3ca49e,drilling_calculation,9,bha-tools,files/bha-tools/pv-calc-pdc-thrust-bearing--5692bbb13d3c.xls,PV calc-PDC thrust bearing.xls,.xls,32768,5692bbb13d3ca49e25ec13311cb1dc8bd5b8a1bb8cbfb30bda2c32e6148fc5c0,1,0,,,False,binary-format-metadata-only,filename-domain:PDC thrust;filename-calculation-term;path-calculation-term;binary-format-name-evidence
cdc1401e53841798,drilling_calculation,8,bha-tools,files/bha-tools/questar-bha-parameters-used-in-thebox--cdc1401e5384.xlsx,Questar BHA parameters used in TheBOX.xlsx,.xlsx,721234,cdc1401e53841798d92e5edf0d9af1766ce380ea37c47ae9eae3d2734fdca7b6,1,1,Questar Analysis RUN1,50,False,openxml-inspected,filename-domain:BHA;path-domain:general-drilling;contains-formulas;formula-rich
8798ede1448cb8e6,drilling_calculation,9,bha-tools,files/bha-tools/rotor-catch-calculator--8798ede1448c.xls,Rotor Catch Calculator.xls,.xls,17920,8798ede1448cb8e6f3753a592736b78651d3f380880028c6f0363213ebd3b673,1,0,,,False,binary-format-metadata-only,filename-domain:Rotor Catch;filename-calculation-term;path-calculation-term;binary-format-name-evidence
7a610befec9d9d7c,drilling_calculation,7,bha-tools,files/bha-tools/rss-patry-lat-bha-s--7a610befec9d.xlsx,RSS Patry lat bha's.xlsx,.xlsx,146014,7a610befec9d9d7ca04bfd0c042e14a791acc5d3d09d1790128ae4266cd8b5b9,1,2,165 Dual P RSS w Mot | 165  RSS w Mot ,401,False,openxml-inspected,filename-domain:bha;contains-formulas;formula-rich
a20de360a6901fad,drilling_calculation,7,bha-tools,files/bha-tools/tenderbit-spec-indexed-v21--a20de360a690.xlsm,Tenderbit Spec_Indexed_V21.xlsm,.xlsm,8181407,a20de360a6901fad79c401839c408f64467118988ca1bb227488c402f284af09,1,45,Index | WellboreCleaningNeeds | Tenderheader ref | RockPropertiesGuide | Offset Schematics | Offset data | Wellplanning Data Sheet | Location | Location data example | Interval Location Spec | IntervalDataWithBitPos | Depth Annotations | Well Timeline | Interval And Surface Pipe | Rig | IntervalData (2) | BHA Shape Spec | BHA Shape | Rig specStruct Example | Rig Logix data | Survey Listing | Survey Report | Hyd Charts | MC2 Reqs | MC2 Planning Matrix | Additonal ReqsBUG mc2 | Field Planning PC oilplan | Rept section Placeholder | Rept sections 2 | Supporting Mind Maps | units-dims | Supported Chart Types Worksheet | Parameter sheet | Parameter table Attributes | ALL Tool Sizes | Usertools | Drilling KPI_RT Chart | Drilling KPI Spec | Interval Chart Spec | TE Calculator | DDCalcs | Regression Eqs | Size-Translate-Rotate | Tubulars_NonSpecial | CollarConnectionProperties,50576,True,openxml-inspected,contains-formulas;formula-rich;sheet-domain:bha-tools;sheet-calculation-term;contains-vba-project
9dbc746eb3c5e468,drilling_calculation,9,cementing-casing,files/cementing-casing/api-casing-design--9dbc746eb3c5.xls,API Casing design.xls,.xls,77312,9dbc746eb3c5e4681a59d77d7bc8385769ea85d78c476e3042fb7370a39bc6ec,1,0,,,False,binary-format-metadata-only,filename-domain:Casing;filename-calculation-term;path-calculation-term;binary-format-name-evidence
ae768ddc41b85b6f,drilling_calculation,7,cementing-casing,files/cementing-casing/casings--ae768ddc41b8.xlsx,Casings.xlsx,.xlsx,23417,ae768ddc41b85b6f0f05ba6306282367ad209a04a897eb680219d2088f25da68,1,1,Casings,0,False,openxml-inspected,filename-domain:Casing;path-domain:general-drilling;sheet-domain:cementing-casing
