workbook_id,category,extension,bytes,integrity_matches_index,extraction_method,extraction_status,static_coverage,sheet_count,hidden_sheet_count,very_hidden_sheet_count,macro_sheet_count,formula_cells,formula_families,defined_names,unit_dimensions,canonical_units,calculation_topics,external_reference_formulas,volatile_formula_cells,iterative_calculation,vba_status,vba_pcode_inspection,has_vba,vba_modules,vba_procedures,event_procedures,macro_indicator_count
266671ee19a7b17b,bha-tools,.xlsx,673977,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,5,0,0,0,509,22,0,angle|curvature|density|length,deg|deg/30m|ft|m|mm|ppg|rad,bha.geometry|directional.coordinates|torque-drag.connection-capacity,0,0,,ok,enabled,False,0,0,0,0
282c3e39ed333b87,hydraulics,.xlsx,1104612,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,4,0,0,0,461,3,0,angle|area|density|dynamic_viscosity|length|penetration_rate|pressure|rotational_speed|time|volumetric_flow,cP|ft|ft/h|ft^2|gal/min|in|min|mm|ppg|psi|rad|rpm,cross-cutting.validation|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss|hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
2f31e7e9f41839d2,hydraulics,.xlsm,1118744,True,calamine-static-ooxml-fallback,ok,calamine-supported-records-and-vba-complete,20,2,0,0,26922,444,18,angle|area|density|density_ratio|dynamic_viscosity|force|fraction|length|mass|power|pressure|pump_rate|time|velocity|volume|volumetric_flow,L/min|L/s|bar|bbl|cP|deg|ft|ft/min|ft/s|ft^2|gal|hp|in|in^2|kPa|kg|kg/m^3|lbf|m|m/s|m^2|m^3|m^3/s|min|mm|percent|ppg|psi|s|specific-gravity|strokes/min,bha.geometry|casing.capacity|cementing.volume|cross-cutting.lookup|cross-cutting.unit-conversion|directional.coordinates|directional.dogleg-severity|directional.trajectory|hydraulics.bit-nozzle|hydraulics.equivalent-circulating-density|hydraulics.fluid-properties|hydraulics.friction-factor|hydraulics.hydrostatic-pressure|hydraulics.lag|hydraulics.pressure-loss|hydraulics.reynolds-number|hydraulics.rheology|hydraulics.surge-swab|hydraulics.two-phase-flow|hydraulics.unresolved|well-control.gas-behavior|well-control.kick-tolerance|well-control.kill-density|well-control.maasp,0,7,,ok,enabled,True,27,30,15,5
30cdfd3f5cc38e9d,hydraulics,.xlsx,12021964,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,3,0,0,0,90803,4,0,,,hydraulics.fluid-properties|hydraulics.reynolds-number|hydraulics.unresolved,0,0,,ok,enabled,False,0,0,0,0
320f71bf493043d3,torque-drag-drillstring,.xls,15872,True,calamine-static,ok,calamine-supported-records-and-vba-complete,1,0,0,0,4,4,0,length,ft|in|m,torque-drag.unresolved,0,0,,ok,enabled,False,0,0,0,0
332bc3b3c75e571d,torque-drag-drillstring,.xlsm,27757,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,3,0,0,0,41,2,0,density|force|length|linear_mass|pressure,MPa|ft|in|kN|kg/m^3|lbm/ft|lbm/ft^3|m|mm|psi,bha.geometry|hydraulics.fluid-properties,41,0,,ok,enabled,True,4,6,6,1
343671c0857a9b3e,bha-tools,.xlsx,673575,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,5,0,0,0,509,22,0,angle|curvature|density|length,deg|deg/30m|ft|m|mm|ppg|rad,bha.geometry|directional.coordinates|torque-drag.connection-capacity,0,0,,ok,enabled,False,0,0,0,0
348dd5eb51c7fac7,thermal,.xlsx,19591,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,1,0,0,0,357,3,0,,,directional.coordinates|thermal.geothermal-gradient,0,0,,ok,enabled,False,0,0,0,0
399cbdbf28c48f34,torque-drag-drillstring,.xls,392704,True,calamine-static,ok,calamine-supported-records-and-vba-complete,2,0,0,0,491,20,0,fraction|length,in|percent,bha.bending-loading|torque-drag.connection-capacity,0,0,,ok,enabled,False,0,0,0,0
41a400bce396b5cf,bha-tools,.xlsx,862937,True,openpyxl-read-only,ok,ooxml-formulas-names-and-vba-complete,9,0,0,0,762,36,29,angle|curvature|density|length|rotational_speed|volume,deg|deg/30m|ft|gal|in|m|mm|ppg|rad|rpm,bha.geometry|cross-cutting.lookup|directional.coordinates|directional.trajectory|torque-drag.connection-capacity,0,0,,ok,enabled,False,0,0,0,0
