workbook_id,category,module_id,record_id,record_kind,module_kind,procedure_kind,visibility,execution_trigger,source_status,source_lines,executable_lines,calculation_topics,detected_units,risk_signals
b147eb91b2f2fd18,thermal,m0064,m0064,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0065,m0065,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0066,m0066,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0067,m0067,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0068,m0068,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0069,m0069,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0070,m0070,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0071,m0071,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0072,m0072,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0073,m0073,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0074,m0074,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0075,m0075,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0076,m0076,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0077,m0077,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0078,m0078,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0079,m0079,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0080,m0080,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0081,m0081,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0082,m0082,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0083,m0083,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0084,m0084,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0085,m0085,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0086,m0086,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0087,m0087,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0088,m0088,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0089,m0089,module,class-or-document-module,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0090,m0090,module,user-form,,,,available,771,0,bha.motor-performance|cross-cutting.lookup|cross-cutting.unit-conversion|directional.dogleg-severity|hydraulics.annular-velocity|hydraulics.hole-cleaning|hydraulics.reynolds-number|hydraulics.rheology,N|Pa|deg|degC|degF|gal/min|h|kPa|kg/m^3|percent|ppg|psi,
b147eb91b2f2fd18,thermal,m0090,m0090-p0001,procedure,user-form,sub,public,explicit-call,available,9,7,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0002,procedure,user-form,sub,public,explicit-call,available,9,7,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0003,procedure,user-form,sub,private,explicit-call,available,5,3,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0004,procedure,user-form,sub,private,explicit-call,available,4,3,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0005,procedure,user-form,sub,private,explicit-call,available,319,209,bha.motor-performance|cross-cutting.unit-conversion|directional.dogleg-severity|hydraulics.annular-velocity|hydraulics.hole-cleaning|hydraulics.reynolds-number|hydraulics.rheology,Pa|deg|h|percent,
b147eb91b2f2fd18,thermal,m0090,m0090-p0006,procedure,user-form,sub,private,explicit-call,available,44,35,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0007,procedure,user-form,sub,private,explicit-call,available,5,3,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0008,procedure,user-form,sub,private,explicit-call,available,6,4,,h,
b147eb91b2f2fd18,thermal,m0090,m0090-p0009,procedure,user-form,sub,private,explicit-call,available,6,4,,h,
b147eb91b2f2fd18,thermal,m0090,m0090-p0010,procedure,user-form,sub,private,explicit-call,available,30,23,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0011,procedure,user-form,sub,private,explicit-call,available,17,14,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0012,procedure,user-form,sub,private,explicit-call,available,48,35,,degF|gal/min|ppg|psi,
b147eb91b2f2fd18,thermal,m0090,m0090-p0013,procedure,user-form,sub,private,explicit-call,available,5,3,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0014,procedure,user-form,sub,private,explicit-call,available,5,3,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0015,procedure,user-form,sub,private,explicit-call,available,17,14,,,
b147eb91b2f2fd18,thermal,m0090,m0090-p0016,procedure,user-form,sub,private,explicit-call,available,51,35,,degC|kPa|kg/m^3,
b147eb91b2f2fd18,thermal,m0090,m0090-p0017,procedure,user-form,sub,private,explicit-call,available,17,14,,h,
b147eb91b2f2fd18,thermal,m0090,m0090-p0018,procedure,user-form,sub,private,explicit-call,available,5,3,,h,
